序号,养殖场（企业）名称,经度,纬度,养殖规模（头）
230,宁夏极牛牧业有限公司,106.187778,37.759444,1200
231,宁夏沁春农牧有限公司（租赁振正浩牧业）,106.25,37.6,2100
232,宁夏澜岫牧业有限公司,106.27,37.78,326
233,中卫市文军奶牛养殖农民专业合作社,105.25,37.58,485
234,宁夏北任原业农牧科技有限公司（原犇腾）,105.31,37.59,1241
235,中卫市郑口奶牛养殖农民专业合作社,105.34,37.57,739
236,中卫市华汇奶牛养殖农民专业合作社,105.28,37.58,756
237,中卫市志鹏奶牛养殖农民专业合作社,105.26,37.59,1169
238,中卫市众鑫源奶牛养殖农民专业合作社,105.26,37.59,1790
239,中卫市宏昇源奶牛养殖农民专业合作社,105.26,37.61,1298
240,中卫市玉睿畜牧养殖有限公司（合众源）,105.36,37.57,848
241,中卫市政欣奶牛养殖农民专业合作社,105.29,37.6,971
242,中卫市六和鑫奶牛养殖农民专业合作社,105.28,37.58,370
243,中卫市鸿宇源奶牛养殖农民专业合作社,105.28,37.58,1140
244,中卫市塞外奶牛养殖农民专业合作社,105.26,37.59,1299
245,中卫市润厚源奶牛养殖农民专业合作社（含泽厚源）,105.08,37.6,5344
246,中卫市恒源奶牛养殖农民专业合作社,105.14,37.63,941
247,中卫市康圣奶牛养殖农民专业合作社,105.09,37.5,1685
248,中卫市沐沙奶牛养殖农民专业合作社（含沐露牧哥澳宁）,105.09,37.57,8842
249,中卫市东春源奶牛养殖农民专业合作社,105.07,37.61,1855
250,中卫市均和奶牛养殖专业合作社,105.31,37.55,910
251,中卫市军润奶牛养殖农民专业合作社,105.38,37.54,1200
252,宁夏阜民丰牧业发展有限责任公司,105.11,37.44,9450
253,中卫光明生态智慧牧场有限公司,105.2,37.41,11187
254,中卫市富农畜牧养殖专业合作社,105.23,37.42,1620
255,宁夏大青山农牧业发展有限公司,105.51,37.35,11154
256,中卫市鑫文奶牛养殖专业合作社,105.45,37.46,562
257,中宁县恒和良种奶牛场,105.85,37.45,1270
258,中垦天宁牧业有限公司,105.83,37.45,11898
259,宁夏农垦贺兰山奶业有限公司渠口牧场,105.86,37.71,6110
260,宁夏兴垦牧业有限公司（第一牧场）,105.78,37.69,12020
261,宁夏牛一农牧有限公司,105.81,37.66,6580
262,兴垦牧业有限公司第二奶牛场,105.8,37.65,18200
263,海原县新希望牧业有限公司,105.44,36.61,10172
